brand,product_name,product_url,product_image_url,on_sale_flag,sale_price,msrp_price,sale_perc_off
UGG,Ansley,https://www.zappos.com/p/ugg-ansley-light-grey-ii/product/7839419/color/888790,https://m.media-amazon.com/images/I/71olvq7XquL.AC_SX600.jpg,1,99.95,99.95,0.0
UGG,Oh Yeah Slide,https://www.zappos.com/p/ugg-oh-yeah-slide-black/product/9332936/color/3,https://m.media-amazon.com/images/I/71fRPfhR6gL.AC_SX600.jpg,1,99.95,99.95,0.0
Camper,Wabi - 18811,https://www.zappos.com/p/camper-wabi-18811-dark-green-2/product/8168634/color/544132,https://m.media-amazon.com/images/I/717n2A8HKFL.AC_SX600.jpg,1,99.0,99.0,0.0
UGG,Fuzzette,https://www.zappos.com/p/ugg-fuzzette-wild-berry/product/9332945/color/108172,https://m.media-amazon.com/images/I/719VwDsawUL.AC_SX600.jpg,1,89.95,89.95,0.0
Kate Spade New York,Brushed Jersey Jogger Long Pajama Set,https://www.zappos.com/p/kate-spade-new-york-brushed-jersey-jogger-long-pajama-set-logo-dot/product/9443315/color/296371,https://m.media-amazon.com/images/I/71Gd2kHOWlL.AC_SX600.jpg,1,78.0,78.0,0.0
Happy Socks,Beatles 50th Anniversary LP Collector's Box 6-Pack,https://www.zappos.com/p/happy-socks-beatles-50th-anniversary-lp-collector-s-box-6-pack-blue-combo/product/9189520/color/7692,https://m.media-amazon.com/images/I/81Ki7SllkYL.AC_SX600.jpg,1,96.0,96.0,0.0
COACH,Box Program Crossgrain Mini ID Skinny,https://www.zappos.com/p/coach-box-program-crossgrain-mini-id-skinny-gd-electric-red/product/9476069/color/899536,https://m.media-amazon.com/images/I/815tdqT6GRL.AC_SX600.jpg,1,45.5,65.0,30.0
Fossil,FB-01 Three-Hand Date Men's Watch,https://www.zappos.com/p/fossil-fb-01-three-hand-date-men-s-watch-fs5657-silver-stainless-steel/product/9358687/color/888537,https://m.media-amazon.com/images/I/71q8NPn458L.AC_SX600.jpg,1,82.7,125.0,34.0
Sam Edelman,Ethyl,https://www.zappos.com/p/sam-edelman-ethyl-molten-gold-soft-metallic-sheep-leather/product/9357931/color/684169,https://m.media-amazon.com/images/I/81Lp8FtJsML.AC_SX1200.jpg,1,99.95,99.95,0.0
Nike,Tanjun Backpack - All Over Print Femme,https://www.zappos.com/p/nike-tanjun-backpack-all-over-print-femme-black-black-black/product/9411532/color/24150,https://m.media-amazon.com/images/I/91n6B63xpNL.AC_SX600.jpg,1,54.95,54.95,0.0
ASICS Tiger,Japan S,https://www.zappos.com/p/asics-tiger-japan-s-smog-green-smog-green/product/9228118/color/882566,https://m.media-amazon.com/images/I/71a9U7SqUQL.AC_SX600.jpg,1,70.0,70.0,0.0
Herschel Supply Co.,Novel,https://www.zappos.com/p/herschel-supply-co-novel-coyote-slub/product/7995669/color/867543,https://m.media-amazon.com/images/I/71c32-Cl9SL.AC_SX600.jpg,1,62.94,89.99,30.0
The North Face,Osito Jacket,https://www.zappos.com/p/the-north-face-osito-jacket-hawthorne-khaki/product/9233736/color/451556,https://m.media-amazon.com/images/I/81Sf5PCHCOL.AC_SX600.jpg,1,69.25,99.0,30.0
Michael Kors,Arrowhead,https://www.zappos.com/p/michael-kors-arrowhead-rose-gold-1/product/9333581/color/311348,https://m.media-amazon.com/images/I/61IRS1pq6QL.AC_SX600.jpg,1,74.25,99.0,25.0
Tory Burch,Roxanne Circle-Stud Earrings,https://www.zappos.com/p/tory-burch-roxanne-circle-stud-earrings-rolled-brass-clear/product/9482610/color/879276,https://m.media-amazon.com/images/I/71aEKRMYnfL.AC_SX600.jpg,1,88.0,88.0,0.0
Rocket Dog,Travis,https://www.zappos.com/p/rocket-dog-travis-grey/product/9456987/color/401,https://m.media-amazon.com/images/I/71UMXSW1r-L.AC_SX600.jpg,1,55.99,79.95,30.0
Tretorn,Nylite 29 Plus,https://www.zappos.com/p/tretorn-nylite-29-plus-new-white-malva/product/9274251/color/887855,https://m.media-amazon.com/images/I/616PWl3QZAL.AC_SX600.jpg,1,94.9,94.9,0.0
Naturalizer,Hadley,https://www.zappos.com/p/naturalizer-hadley-brown-black-suede-patent-leather/product/9429920/color/881049,https://m.media-amazon.com/images/I/61LxpkHHBsL.AC_SX600.jpg,1,75.2,99.0,24.0
Palladium,Pallabase Twill,https://www.zappos.com/p/palladium-pallabase-twill-moonlight/product/9423149/color/7538,https://m.media-amazon.com/images/I/71tg3SL95PL.AC_SX600.jpg,1,90.0,90.0,0.0
COACH,Card Case in Signature Coated Canvas,https://www.zappos.com/p/coach-card-case-in-signature-coated-canvas-beige/product/9202380/color/43,https://m.media-amazon.com/images/I/81ZSbMgXyWL.AC_SX1200.jpg,1,75.0,75.0,0.0
Polo Ralph Lauren,Antero Slipper,https://www.zappos.com/p/polo-ralph-lauren-antero-slipper-black-leather/product/9307327/color/72,https://m.media-amazon.com/images/I/61V+Wz7pEOL.AC_SX600.jpg,1,80.0,80.0,0.0
Tommy Bahama,Parrot Party Woven Pajama Set,https://www.zappos.com/p/tommy-bahama-parrot-party-woven-pajama-set-parrot-party/product/9430817/color/881367,https://m.media-amazon.com/images/I/817f+PzW8aL.AC_SX600.jpg,1,86.45,86.45,0.0
Tifosi Optics,Seek™ Polarized,https://www.zappos.com/p/tifosi-optics-seek-polarized-tortoise/product/7929011/color/701,https://m.media-amazon.com/images/I/71CUXEW1XQL.AC_SX600.jpg,1,69.95,69.95,0.0
Paul Smith,3-Pack Multistripe Socks,https://www.zappos.com/p/paul-smith-3-pack-multistripe-socks-multicolor/product/9212816/color/475,https://m.media-amazon.com/images/I/91DGh3sZ7tL.AC_SX600.jpg,1,75.0,75.0,0.0
Steve Madden,Goody Sneaker,https://www.zappos.com/p/steve-madden-goody-sneaker-leopard-multi/product/9470670/color/18731,https://m.media-amazon.com/images/I/81kiWtjJqML.AC_SX600.jpg,1,53.4,89.95,41.0
UGG,Scuffette II Stellar Sequin,https://www.zappos.com/p/ugg-scuffette-ii-stellar-sequin-lilac-frost/product/9405576/color/231784,https://m.media-amazon.com/images/I/71FNFCkAAfL.AC_SX600.jpg,1,99.95,99.95,0.0
Ryka,Aubonne,https://www.zappos.com/p/ryka-aubonne-beige/product/9160348/color/43,https://m.media-amazon.com/images/I/7173D7I+DAL.AC_SX600.jpg,1,74.94,74.94,0.0
UGG,Hank Sleep Bottoms,https://www.zappos.com/p/ugg-hank-sleep-bottoms-camo/product/9255453/color/920,https://m.media-amazon.com/images/I/81DRxn5ZYUL.AC_SX600.jpg,1,84.95,84.95,0.0
Deer Stags,Archer,https://www.zappos.com/p/deer-stags-archer-black/product/9449157/color/3,https://m.media-amazon.com/images/I/71mncgxw62L.AC_SX600.jpg,1,80.0,80.0,0.0
Dylan by True Grit,Dream Fleece Soft Snow Bear Cozy Pants,https://www.zappos.com/p/dylan-by-true-grit-dream-fleece-soft-snow-bear-cozy-pants-pale-pink/product/9452091/color/5353,https://m.media-amazon.com/images/I/61ldglvZ3sL.AC_SX600.jpg,1,61.95,61.95,0.0
Steve Madden,Catcher Sneaker,https://www.zappos.com/p/steve-madden-catcher-sneaker-white-multi/product/9488248/color/2927,https://m.media-amazon.com/images/I/61itYI5Rd2L.AC_SX1200.jpg,1,69.95,69.95,0.0
Dr. Scholl's,Little Wild,https://www.zappos.com/p/dr-scholl-s-little-wild-black/product/9462428/color/3,https://m.media-amazon.com/images/I/71K2AcC9YaL.AC_SX600.jpg,1,90.0,90.0,0.0
Spanx,Faux Leather Leggings,https://www.zappos.com/p/spanx-faux-leather-leggings-wine/product/8981348/color/17,https://m.media-amazon.com/images/I/71bcJJHkycL.AC_SX600.jpg,1,78.4,98.0,20.0
COACH,Box Program New Signature Jacquard Small Wristlet,https://www.zappos.com/p/coach-box-program-new-signature-jacquard-small-wristlet-sv-black/product/9476056/color/460451,https://m.media-amazon.com/images/I/81AQUFlmkIL.AC_SX600.jpg,1,65.0,65.0,0.0
